,Rank,Country(or dependent territory),Population
0,1,China[b],1406981480
1,2,India[c],1374265327
2,3,United States[d],331295180
3,4,Indonesia,270203917
4,5,Pakistan[e],225200000
5,6,Brazil,212841546
6,7,Nigeria,211401000
7,8,Bangladesh,170290386
8,9,Russia[f],146238185
9,10,Mexico,126014024
10,11,Japan,125620000
11,12,Ethiopia,117876000
12,13,Philippines,109931289
13,14,DR Congo,106731000
14,15,Egypt,101596580
15,16,Vietnam,97580000
16,17,Iran,84261380
17,18,Turkey,83614362
18,19,Germany,83190556
19,20,France[g],67399000
20,21,United Kingdom[h],66796807
21,22,Thailand,66620742
22,23,South Africa,59622350
23,24,Tanzania[i],59441988
24,25,Italy,59304696
25,26,Myanmar,55294979
26,27,South Korea,51824142
27,28,Colombia,51049498
28,29,Kenya,47564296
29,30,Spain,47351567
30,31,Argentina,45808747
31,32,Algeria,44700000
32,33,Sudan,43291675
33,34,Uganda,42885900
34,35,Ukraine[j],41588354
35,36,Iraq,41190700
36,37,Canada,38377961
37,38,Poland,38268000
38,39,Morocco[k],36185529
39,40,Uzbekistan,34737692
40,41,Saudi Arabia,34218169
41,42,Peru,33035304
42,43,Afghanistan,32890171
43,44,Malaysia,32750170
44,45,Angola,32097671
45,46,Ghana,30955202
46,47,Mozambique,30832244
47,48,Yemen,30491000
48,49,Nepal,30378055
49,50,Venezuela,28705000
50,51,Ivory Coast,27087732
51,52,Madagascar,26923353
52,53,Australia,25760505
53,54,North Korea,25660000
54,55,Cameroon,24348251
55,56,Niger,24112753
56,–,Taiwan[l],23548633
57,57,Sri Lanka,21919000
58,58,Burkina Faso,21510181
59,59,Mali,20856000
60,60,Chile,19678363
61,61,Romania,19317984
62,62,Malawi,18898441
63,63,Kazakhstan,18884528
64,64,Zambia,18400556
65,65,Syria,18276000
66,66,Ecuador,17687240
67,67,Netherlands[m],17570381
68,68,Senegal,17223497
69,69,Guatemala,17109746
70,70,Chad,16818391
71,71,Somalia[n],16360000
72,72,Zimbabwe,15790716
73,73,Cambodia,15552211
74,74,South Sudan,13249924
75,75,Rwanda,12955768
76,76,Guinea,12907395
77,77,Burundi,12574571
78,78,Benin,12506347
79,79,Bolivia,11797257
80,80,Haiti,11743017
81,81,Tunisia,11708370
82,82,Belgium,11554449
83,83,Cuba,11193470
84,84,Jordan,10896280
85,85,Greece,10718565
86,86,Czech Republic,10707839
87,87,Dominican Republic,10535535
88,88,Sweden,10380491
89,89,Portugal,10295909
90,90,Azerbaijan,10123400
91,91,Hungary,9731000
92,92,Honduras,9450711
93,93,Belarus,9408350
94,94,United Arab Emirates,9366829
95,95,Israel,9321580
96,96,Tajikistan,9313800
97,97,Papua New Guinea,9122994
98,98,Austria,8933346
99,99,Switzerland,8655100
100,100,Sierra Leone,8297882
