,ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index,Years of life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income per capita,Endangered,Rank,Population,Government,Republic,Constitutional monarchy,Provisional,Absolute monarchy,% speakers
0,1022.0,South Italian,Italy,ITA,nap,Vulnerable,7500000,40.9798,15.249,29.0,0.892,83.5,16.1,10.4,42.776,0,25,59304696,Republic,1,0,0,0,0.12646553318475826
1,1023.0,Sicilian,Italy,ITA,scn,Vulnerable,5000000,37.4399,14.5019,29.0,0.892,83.5,16.1,10.4,42.776,0,25,59304696,Republic,1,0,0,0,0.0843103554565055
2,382.0,Lombard,Italy,"ITA, CHE",lmo,Definitely endangered,3500000,45.7215,9.3273,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.05901724881955385
3,349.0,Emilian-Romagnol,Italy,"ITA, SMR",eml,Definitely endangered,2000000,44.127,12.0739,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.0337241421826022
4,399.0,Piedmontese,Italy,ITA,pms,Definitely endangered,2000000,45.2013,7.8662,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.0337241421826022
5,337.0,Campidanese,Italy,ITA,sro,Definitely endangered,900000,39.2991,8.9868,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.01517586398217099
6,353.0,Friulian,Italy,ITA,fur,Definitely endangered,600000,46.1037,13.1396,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.01011724265478066
7,381.0,Logudorese,Italy,ITA,src,Definitely endangered,400000,40.1116,9.1845,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.00674482843652044
8,408.0,Sassarese,Italy,ITA,sdc,Definitely endangered,120000,40.6139,8.6132,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.002023448530956132
9,356.0,Gallurese,Italy,ITA,sdn,Definitely endangered,100000,40.8802,9.4482,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.00168620710913011
10,1347.0,Arbëresh,Italy,ITA,aae,Definitely endangered,80000,40.9321,14.8645,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.001348965687304088
11,1330.0,Gallo-Sicilian,Italy,ITA,lmo,Definitely endangered,65000,38.0167,14.5994,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.0010960346209345716
12,565.0,Ladin,Italy,ITA,lld,Definitely endangered,30000,46.5531,11.8597,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.000505862132739033
13,1614.0,Griko (Salento),Italy,ITA,ell,Severely endangered,20000,40.1578,18.2208,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.000337241421826022
14,1343.0,Algherese Catalan,Italy,ITA,cat,Definitely endangered,10000,40.5638,8.3276,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,0.000168620710913011
15,1349.0,Molise Croatian,Italy,ITA,"bos, hrv, srp",Severely endangered,5000,41.8787,14.7065,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,8.43103554565055e-05
16,1339.0,Griko (Calabria),Italy,ITA,ell,Severely endangered,2000,37.9961,15.9329,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,3.3724142182602203e-05
17,1511.0,Mòcheno,Italy,ITA,mhn,Definitely endangered,1000,46.1194,11.3258,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,1.6862071091301102e-05
18,1348.0,Resian,Italy,ITA,slv,Definitely endangered,1000,46.3734,13.3058,29.0,0.892,83.5,16.1,10.4,42.776,1,25,59304696,Republic,1,0,0,0,1.6862071091301102e-05
