ID,Name in English,Main country,All countries,ISO639-3 codes,Degree of endangerment,Number of speakers,Latitude,Longitude,Rank ,Quality of life index(HDI-2019),Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,Endangered,Rank,Population,Government
1022.0,South Italian,Italy,ITA,nap,Vulnerable,7500000.0,40.9798,15.249,29.0,0.892,83.5,16.1,10.4,42.776,0.0,25,59304696.0,Republic
1023.0,Sicilian,Italy,ITA,scn,Vulnerable,5000000.0,37.4399,14.5019,29.0,0.892,83.5,16.1,10.4,42.776,0.0,25,59304696.0,Republic
382.0,Lombard,Italy,"ITA, CHE",lmo,Definitely endangered,3500000.0,45.7215,9.3273,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
349.0,Emilian-Romagnol,Italy,"ITA, SMR",eml,Definitely endangered,2000000.0,44.126999999999995,12.0739,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
399.0,Piedmontese,Italy,ITA,pms,Definitely endangered,2000000.0,45.2013,7.8662,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
337.0,Campidanese,Italy,ITA,sro,Definitely endangered,900000.0,39.2991,8.9868,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
353.0,Friulian,Italy,ITA,fur,Definitely endangered,600000.0,46.1037,13.1396,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
381.0,Logudorese,Italy,ITA,src,Definitely endangered,400000.0,40.1116,9.1845,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
408.0,Sassarese,Italy,ITA,sdc,Definitely endangered,120000.0,40.6139,8.6132,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
356.0,Gallurese,Italy,ITA,sdn,Definitely endangered,100000.0,40.8802,9.4482,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1347.0,Arbëresh,Italy,ITA,aae,Definitely endangered,80000.0,40.9321,14.8645,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1330.0,Gallo-Sicilian,Italy,ITA,lmo,Definitely endangered,65000.0,38.0167,14.5994,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
565.0,Ladin,Italy,ITA,lld,Definitely endangered,30000.0,46.5531,11.8597,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1614.0,Griko (Salento),Italy,ITA,ell,Severely endangered,20000.0,40.1578,18.2208,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1343.0,Algherese Catalan,Italy,ITA,cat,Definitely endangered,10000.0,40.5638,8.3276,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1349.0,Molise Croatian,Italy,ITA,"bos, hrv, srp",Severely endangered,5000.0,41.8787,14.7065,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1339.0,Griko (Calabria),Italy,ITA,ell,Severely endangered,2000.0,37.9961,15.9329,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1511.0,Mòcheno,Italy,ITA,mhn,Definitely endangered,1000.0,46.1194,11.3258,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1348.0,Resian,Italy,ITA,slv,Definitely endangered,1000.0,46.3734,13.3058,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
351.0,Faetar,Italy,ITA,frp,Definitely endangered,600.0,41.3265,15.1721,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1345.0,Cimbrian,Italy,ITA,cim,Definitely endangered,400.0,45.867,11.4268,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
1344.0,Töitschu,Italy,ITA,"gsw, swg, wae",Severely endangered,200.0,45.6913,7.8682,29.0,0.892,83.5,16.1,10.4,42.776,1.0,25,59304696.0,Republic
383.0,Low Saxon,Germany,"DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,4800000.0,53.4029,10.3601,6.0,0.9470000000000001,81.3,17.0,14.2,55.314,0.0,19,83190556.0,Republic
1020.0,Limburgian-Ripuarian,Germany,"DEU, BEL, NLD","ksh, lim",Vulnerable,2600000.0,50.7781,6.0864,6.0,0.9470000000000001,81.3,17.0,14.2,55.314,0.0,19,83190556.0,Republic
